ip,name
2001:1a68::d911:2244,got it from https://public-dns.info/nameservers-all.txt
85.132.32.41,got it from https://public-dns.info/nameservers-all.txt
121.152.231.196,got it from https://public-dns.info/nameservers-all.txt
2620:0:ccc::2,got it from https://public-dns.info/nameservers-all.txt
2620:0:ccd::2,got it from https://public-dns.info/nameservers-all.txt
85.214.20.141,got it from https://public-dns.info/nameservers-all.txt
193.251.169.83,got it from https://public-dns.info/nameservers-all.txt
202.248.20.133,got it from https://public-dns.info/nameservers-all.txt
202.248.37.74,got it from https://public-dns.info/nameservers-all.txt
194.149.133.11,got it from https://public-dns.info/nameservers-all.txt
95.158.129.2,got it from https://public-dns.info/nameservers-all.txt
2001:978:1:1::d,got it from https://public-dns.info/nameservers-all.txt
2001:978:1:2::d,got it from https://public-dns.info/nameservers-all.txt
2001:550:1:1::d,got it from https://public-dns.info/nameservers-all.txt
2001:470:0:45::2,got it from https://public-dns.info/nameservers-all.txt
2001:470:0:78::2,got it from https://public-dns.info/nameservers-all.txt
2001:470:0:8c::2,got it from https://public-dns.info/nameservers-all.txt
209.51.161.58,got it from https://public-dns.info/nameservers-all.txt
2001:470:0:c0::2,got it from https://public-dns.info/nameservers-all.txt
216.66.38.58,got it from https://public-dns.info/nameservers-all.txt
72.52.104.74,got it from https://public-dns.info/nameservers-all.txt
74.82.46.6,got it from https://public-dns.info/nameservers-all.txt
209.51.161.14,got it from https://public-dns.info/nameservers-all.txt
216.66.80.90,got it from https://public-dns.info/nameservers-all.txt
216.66.80.98,got it from https://public-dns.info/nameservers-all.txt
216.66.22.2,got it from https://public-dns.info/nameservers-all.txt
212.85.112.32,got it from https://public-dns.info/nameservers-all.txt
062.129.252.252,got it from https://public-dns.info/nameservers-all.txt
195.46.39.39,got it from https://public-dns.info/nameservers-all.txt
195.46.39.40,got it from https://public-dns.info/nameservers-all.txt
109.69.8.51,got it from https://public-dns.info/nameservers-all.txt
77.88.8.8,got it from https://public-dns.info/nameservers-all.txt
77.88.8.88,got it from https://public-dns.info/nameservers-all.txt
193.58.251.251,got it from https://public-dns.info/nameservers-all.txt
2001:468:c80:2101:0:100:0:22,got it from https://public-dns.info/nameservers-all.txt
2001:468:c80:4101:0:100:0:42,got it from https://public-dns.info/nameservers-all.txt
2001:4870:6082:3::100,got it from https://public-dns.info/nameservers-all.txt
2001:4870:6082:3::5,got it from https://public-dns.info/nameservers-all.txt
2001:4870:8000:3::100,got it from https://public-dns.info/nameservers-all.txt
2001:4870:8000:3::5,got it from https://public-dns.info/nameservers-all.txt
2001:840:200::,got it from https://public-dns.info/nameservers-all.txt
2001:840:2010:413::100,got it from https://public-dns.info/nameservers-all.txt
2407:9000:0:4::2,got it from https://public-dns.info/nameservers-all.txt
12.127.17.72,got it from https://public-dns.info/nameservers-all.txt
134.75.122.2,got it from https://public-dns.info/nameservers-all.txt
149.156.12.250,got it from https://public-dns.info/nameservers-all.txt
149.211.153.51,got it from https://public-dns.info/nameservers-all.txt
164.124.107.9,got it from https://public-dns.info/nameservers-all.txt
165.87.13.129,got it from https://public-dns.info/nameservers-all.txt
168.215.165.186,got it from https://public-dns.info/nameservers-all.txt
192.116.16.26,got it from https://public-dns.info/nameservers-all.txt
193.111.144.145,got it from https://public-dns.info/nameservers-all.txt
193.138.78.116,got it from https://public-dns.info/nameservers-all.txt
193.138.78.117,got it from https://public-dns.info/nameservers-all.txt
193.142.115.131,got it from https://public-dns.info/nameservers-all.txt
193.201.185.2,got it from https://public-dns.info/nameservers-all.txt
193.201.185.3,got it from https://public-dns.info/nameservers-all.txt
193.228.86.5,got it from https://public-dns.info/nameservers-all.txt
193.231.236.25,got it from https://public-dns.info/nameservers-all.txt
193.231.236.30,got it from https://public-dns.info/nameservers-all.txt
193.231.80.7,got it from https://public-dns.info/nameservers-all.txt
193.43.108.62,got it from https://public-dns.info/nameservers-all.txt
194.141.12.1,got it from https://public-dns.info/nameservers-all.txt
194.145.240.6,got it from https://public-dns.info/nameservers-all.txt
194.145.241.6,got it from https://public-dns.info/nameservers-all.txt
194.164.181.2,got it from https://public-dns.info/nameservers-all.txt
194.169.239.10,got it from https://public-dns.info/nameservers-all.txt
194.172.160.4,got it from https://public-dns.info/nameservers-all.txt
195.112.96.34,got it from https://public-dns.info/nameservers-all.txt
195.14.50.21,got it from https://public-dns.info/nameservers-all.txt
195.178.123.130,got it from https://public-dns.info/nameservers-all.txt
195.189.130.1,got it from https://public-dns.info/nameservers-all.txt
195.189.131.1,got it from https://public-dns.info/nameservers-all.txt
195.35.110.4,got it from https://public-dns.info/nameservers-all.txt
195.5.64.6,got it from https://public-dns.info/nameservers-all.txt
195.60.70.5,got it from https://public-dns.info/nameservers-all.txt
195.66.68.2,got it from https://public-dns.info/nameservers-all.txt
195.69.65.98,got it from https://public-dns.info/nameservers-all.txt
195.7.64.3,got it from https://public-dns.info/nameservers-all.txt
195.96.208.1,got it from https://public-dns.info/nameservers-all.txt
203.250.129.214,got it from https://public-dns.info/nameservers-all.txt
206.124.0.254,got it from https://public-dns.info/nameservers-all.txt
206.124.1.254,got it from https://public-dns.info/nameservers-all.txt
207.15.68.164,got it from https://public-dns.info/nameservers-all.txt
207.15.68.36,got it from https://public-dns.info/nameservers-all.txt
207.217.120.83,got it from https://public-dns.info/nameservers-all.txt
207.217.77.82,got it from https://public-dns.info/nameservers-all.txt
209.55.0.110,got it from https://public-dns.info/nameservers-all.txt
209.55.1.220,got it from https://public-dns.info/nameservers-all.txt
209.90.160.222,got it from https://public-dns.info/nameservers-all.txt
211.115.194.2,got it from https://public-dns.info/nameservers-all.txt
